"Date","Volts(V)","Current(A)","Temperature(°C)","State Of Charge(%)"
"2021-08-16 00:00:00",52.352,-2.047,25,55
"2021-08-16 00:01:00",52.352,-2.086,25,55
"2021-08-16 00:02:00",52.352,-2.063,25,55
"2021-08-16 00:03:00",52.352,-2.093,25,55
"2021-08-16 00:04:00",52.352,-2.062,25,55
"2021-08-16 00:05:00",52.352,-2.064,25,55
"2021-08-16 00:06:00",52.352,-2.041,25,55
"2021-08-16 00:07:00",52.352,-2.033,25,55
"2021-08-16 00:08:00",52.352,-2.04,25,54
"2021-08-16 00:09:00",52.352,-2.047,25,54
"2021-08-16 00:10:00",52.352,-2.057,25,54
"2021-08-16 00:11:00",52.336,-2.053,25,54
"2021-08-16 00:12:00",52.336,-2.056,25,54
"2021-08-16 00:13:00",52.336,-2.051,25,54
"2021-08-16 00:14:00",52.336,-2.029,25,54
"2021-08-16 00:15:00",52.336,-2.037,25,54
"2021-08-16 00:16:00",52.336,-2.042,25,54
"2021-08-16 00:17:00",52.336,-2.048,25,54
"2021-08-16 00:18:00",52.336,-2.052,25,54
"2021-08-16 00:19:00",52.336,-2.047,24,54
"2021-08-16 00:20:00",52.336,-2.039,24,54
"2021-08-16 00:21:00",52.336,-2.029,24,54
"2021-08-16 00:22:00",52.336,-2.034,24,54
"2021-08-16 00:23:00",52.336,-2.034,24,54
"2021-08-16 00:24:00",52.336,-2.046,24,53
"2021-08-16 00:25:00",52.336,-2.048,24,53
"2021-08-16 00:26:00",52.336,-2.051,24,53
"2021-08-16 00:27:00",52.336,-2.041,24,53
"2021-08-16 00:28:00",52.336,-2.041,24,53
"2021-08-16 00:29:00",52.336,-2.018,24,53
"2021-08-16 00:30:00",52.336,-2.021,24,53
"2021-08-16 00:31:00",52.336,-2.036,24,53
"2021-08-16 00:32:00",52.336,-2.04,24,53
"2021-08-16 00:33:00",52.336,-2.055,24,53
"2021-08-16 00:34:00",52.336,-2.051,24,53
"2021-08-16 00:35:00",52.336,-2.031,24,53
"2021-08-16 00:36:00",52.336,-2.033,24,53
"2021-08-16 00:37:00",52.336,-2.014,24,53
"2021-08-16 00:38:00",52.336,-2.011,24,53
"2021-08-16 00:39:00",52.336,-2.031,24,53
"2021-08-16 00:40:00",52.336,-2.032,24,52
"2021-08-16 00:41:00",52.336,-2.039,24,52
"2021-08-16 00:42:00",52.336,-2.039,24,52
"2021-08-16 00:43:00",52.336,-2.028,24,52
"2021-08-16 00:44:00",52.336,-2.014,24,52
"2021-08-16 00:45:00",52.336,-2.02,24,52
"2021-08-16 00:46:00",52.336,-2.012,24,52
"2021-08-16 00:47:00",52.336,-2.032,24,52
"2021-08-16 00:48:00",52.336,-2.031,24,52
"2021-08-16 00:49:00",52.336,-2.036,24,52
"2021-08-16 00:50:00",52.32,-2.032,24,52
"2021-08-16 00:51:00",52.352,-2.031,24,52
"2021-08-16 00:52:00",52.32,-2.011,24,52
"2021-08-16 00:53:00",52.32,-2.015,24,52
"2021-08-16 00:54:00",52.32,-2.016,24,52
"2021-08-16 00:55:00",52.32,-2.029,24,52
"2021-08-16 00:56:00",52.32,-2.035,24,51
"2021-08-16 00:57:00",52.32,-2.032,24,51
"2021-08-16 00:58:00",52.32,-2.022,24,51
"2021-08-16 00:59:00",52.32,-2.013,24,51
"2021-08-16 01:00:00",52.32,-2.037,24,51
"2021-08-16 01:01:00",52.336,-2.008,24,51
"2021-08-16 01:02:00",52.32,-2.065,24,51
"2021-08-16 01:03:00",52.32,-2.019,24,51
"2021-08-16 01:04:00",52.32,-2.034,24,51
"2021-08-16 01:05:00",52.32,-2.03,24,51
"2021-08-16 01:06:00",52.32,-2.024,24,51
"2021-08-16 01:07:00",52.32,-2.017,24,51
"2021-08-16 01:08:00",52.32,-2.008,24,51
"2021-08-16 01:09:00",52.32,-2.018,24,51
"2021-08-16 01:10:00",52.32,-2.021,24,51
"2021-08-16 01:11:00",52.32,-2.033,24,51
"2021-08-16 01:12:00",52.32,-2.023,24,50
"2021-08-16 01:13:00",52.32,-2.013,24,50
"2021-08-16 01:14:00",52.32,-2.015,24,50
"2021-08-16 01:15:00",52.32,-2.005,24,50
"2021-08-16 01:16:00",52.32,-2.015,24,50
"2021-08-16 01:17:00",52.32,-2.016,24,50
"2021-08-16 01:18:00",52.32,-2.029,24,50
"2021-08-16 01:19:00",52.32,-2.027,24,50
"2021-08-16 01:20:00",52.304,-2.017,24,50
"2021-08-16 01:21:00",52.304,-2.01,24,50
"2021-08-16 01:22:00",52.304,-2.001,24,50
"2021-08-16 01:23:00",52.304,-1.998,24,50
"2021-08-16 01:24:00",52.304,-2.003,24,50
"2021-08-16 01:25:00",52.304,-2.015,24,50
"2021-08-16 01:26:00",52.304,-2.018,23,50
"2021-08-16 01:27:00",52.304,-2.019,23,49
"2021-08-16 01:28:00",52.304,-2.009,23,49
"2021-08-16 01:29:00",52.304,-2.01,23,49
"2021-08-16 01:30:00",52.304,-2.006,23,49
"2021-08-16 01:31:00",52.304,-2.005,23,49
"2021-08-16 01:32:00",52.304,-2.013,23,49
"2021-08-16 01:33:00",52.304,-2.006,23,49
"2021-08-16 01:34:00",52.304,-2.025,23,49
"2021-08-16 01:35:00",52.304,-2.016,23,49
"2021-08-16 01:36:00",52.288,-2.01,23,49
"2021-08-16 01:37:00",52.304,-1.997,23,49
"2021-08-16 01:38:00",52.304,-1.994,23,48
"2021-08-16 01:39:00",52.304,-2.005,23,48
"2021-08-16 01:40:00",52.304,-2.013,23,48
"2021-08-16 01:41:00",52.304,-2.009,23,48
"2021-08-16 01:42:00",52.288,-2.016,23,48
"2021-08-16 01:43:00",52.288,-2.017,23,48
"2021-08-16 01:44:00",52.288,-1.999,23,48
"2021-08-16 01:45:00",52.288,-1.995,23,48
"2021-08-16 01:46:00",52.288,-2.002,23,48
"2021-08-16 01:47:00",52.304,-2.011,23,48
"2021-08-16 01:48:00",52.304,-2.014,23,48
"2021-08-16 01:49:00",52.304,-2.011,23,48
"2021-08-16 01:50:00",52.288,-2.006,23,48
"2021-08-16 01:51:00",52.288,-1.993,23,48
"2021-08-16 01:52:00",52.288,-1.989,23,48
